model,bin,lower,upper,n,weight,mean_prediction,event_rate
Histogram gradient boosting,0,0.0,0.1,9346,0.31153333333333333,0.06798270457429514,0.06976246522576503
Histogram gradient boosting,1,0.1,0.2,10279,0.34263333333333335,0.14450263450255324,0.1455394493627785
Histogram gradient boosting,2,0.2,0.30000000000000004,3853,0.12843333333333334,0.24161043583533826,0.23332468206592266
Histogram gradient boosting,3,0.30000000000000004,0.4,1939,0.06463333333333333,0.34619306906198355,0.36513666838576586
Histogram gradient boosting,4,0.4,0.5,1008,0.0336,0.44577080123306556,0.4573412698412698
Histogram gradient boosting,5,0.5,0.6000000000000001,791,0.026366666666666667,0.5505130800901188,0.5714285714285714
Histogram gradient boosting,6,0.6000000000000001,0.7000000000000001,1268,0.04226666666666667,0.6560734128098916,0.6545741324921136
Histogram gradient boosting,7,0.7000000000000001,0.8,1228,0.040933333333333335,0.7509303707349428,0.7312703583061889
Histogram gradient boosting,8,0.8,0.9,288,0.0096,0.8116654272664042,0.8333333333333334
LSTM,0,0.0,0.1,8604,0.2868,0.07949425138939183,0.07345420734542074
LSTM,1,0.1,0.2,11623,0.38743333333333335,0.13801394997785565,0.1451432504516906
LSTM,2,0.2,0.30000000000000004,2858,0.09526666666666667,0.24139711643920145,0.23337998600419874
LSTM,3,0.30000000000000004,0.4,1709,0.056966666666666665,0.3508049601599951,0.3569338794616735
LSTM,4,0.4,0.5,1561,0.052033333333333334,0.45006191174809357,0.46700832799487507
LSTM,5,0.5,0.6000000000000001,1224,0.0408,0.5532309832228047,0.5375816993464052
LSTM,6,0.6000000000000001,0.7000000000000001,1768,0.05893333333333333,0.6530244841479196,0.6561085972850679
LSTM,7,0.7000000000000001,0.8,605,0.020166666666666666,0.7304896131839552,0.7603305785123967
LSTM,8,0.8,0.9,48,0.0016,0.8236789695066716,0.6875
TCN,0,0.0,0.1,8981,0.29936666666666667,0.0734526630203009,0.07204097539249527
TCN,1,0.1,0.2,10963,0.36543333333333333,0.14108819113499407,0.14840828240445134
TCN,2,0.2,0.30000000000000004,3255,0.1085,0.24119871094707449,0.23102918586789556
TCN,3,0.30000000000000004,0.4,1560,0.052,0.3444292769160854,0.3474358974358974
TCN,4,0.4,0.5,1348,0.04493333333333333,0.4487486354945141,0.422106824925816
TCN,5,0.5,0.6000000000000001,1450,0.04833333333333333,0.553554895831783,0.5531034482758621
TCN,6,0.6000000000000001,0.7000000000000001,1715,0.057166666666666664,0.6509208940280446,0.6553935860058309
TCN,7,0.7000000000000001,0.8,728,0.024266666666666666,0.7260977251167376,0.7870879120879121
Transformer,0,0.0,0.1,8566,0.2855333333333333,0.07186650513308922,0.07027784263366799
Transformer,1,0.1,0.2,10621,0.3540333333333333,0.14012368049021173,0.14367761980981075
Transformer,2,0.2,0.30000000000000004,3323,0.11076666666666667,0.24179161811118313,0.2272043334336443
Transformer,3,0.30000000000000004,0.4,2381,0.07936666666666667,0.3489885986973117,0.35405291894162116
Transformer,4,0.4,0.5,1761,0.0587,0.44574924541640404,0.4497444633730835
Transformer,5,0.5,0.6000000000000001,1496,0.04986666666666666,0.5498423050351611,0.5574866310160428
Transformer,6,0.6000000000000001,0.7000000000000001,1228,0.040933333333333335,0.6547338002335955,0.6653094462540716
Transformer,7,0.7000000000000001,0.8,553,0.018433333333333333,0.7275929830877684,0.7468354430379747
Transformer,8,0.8,0.9,71,0.0023666666666666667,0.8224463776979459,0.7605633802816901
